IP_scale;TFL_scale;EF_scale
3,90909090909091;4,4;3,5
3;4;3,75
3,09090909090909;4;3,5
3,36363636363636;4;3,5
3,72727272727273;4,8;3,5
3,18181818181818;4,2;3,5
3,27272727272727;4;3,5
 ; ; 
3,54545454545455;4,8;3,25
3,54545454545455;5;3,5
2,81818181818182;4,2;3,25
4,09090909090909;4,8;3,5
4,36363636363636;4,8;3,75
2,72727272727273;3,8;3,5
3,54545454545455;3,8;3,5
2,81818181818182;4;2,25
2,81818181818182;3,8;2,75
3,09090909090909;3,6;3,25
3,09090909090909; ; 
3,09090909090909;3,4;3,25
3,36363636363636;3,8;3,5
2,81818181818182;2,8;3,5
3,81818181818182;4;3,5
4,09090909090909;4,6;4
 ; ; 
2,72727272727273;4,2;3,5
3,45454545454545;4,6;3,75
3,09090909090909;4,8;3,75
3,72727272727273;4,6;3,25
3,63636363636364;4,6;3
 ; ; 
3,81818181818182;4,4;3,75
3,27272727272727;5;3,5
4,27272727272727;5;3,5
2,81818181818182;2,2;3
3,90909090909091;4;3,5
3,18181818181818;4,4;4
3;3,8;3
2,45454545454545;3,8;3,5
2,27272727272727;2,8;2,5
3,18181818181818;4;2,75
4,09090909090909;4;2,5
3,27272727272727;4;2,75
4,18181818181818;4,4;3,5
1,54545454545455;2;2,75
3,09090909090909;4;3,25
2,18181818181818;2,6;2,5
3,09090909090909;3,8;3,5
3,90909090909091;3,6;3
3,18181818181818;4;3,25
2,81818181818182;3,4;3
3,18181818181818;3,8;3,5
4,09090909090909;4;3,75
2,90909090909091;3,2;3,5
2,54545454545455;3,6;3
3,09090909090909;3,6;3,25
2,36363636363636;4;2,25
3,18181818181818;3,8;3,5
2,81818181818182;3,4;2,75
3;2;2
2,18181818181818;2,8;3
3,09090909090909;4;3,25
2,09090909090909;3,2;2,75
2,45454545454545;4,4;2,75
3;3;3
2,90909090909091;3,8;2,5
2;3,2; 
2,72727272727273;4;3,5
2,09090909090909;2,2;2,25
2,45454545454545;3,8;2,25
2,45454545454545;3,6;3,25
3,36363636363636;4;3,25
2,54545454545455;3,6;3
 ; ; 
2,90909090909091;3,2;2
2,90909090909091;4,2;3,25
2,09090909090909;3,6;2,75
2,63636363636364;3;1,5
2,54545454545455;3;3
2,90909090909091;3,4;3
4,63636363636364;4;3,5
 ; ; 
3;3,6;2,75
3,54545454545455;4; 
2,45454545454545;3,8;3
3,54545454545455;4,6;3
3,81818181818182;4;3,5
4,54545454545455;4,4;3
3,72727272727273;3,6;3,25
3,09090909090909;4,2;3,25
3,72727272727273;4;2,75
1,81818181818182;4,4;2,25
2,90909090909091;3,6;3,5
 ; ; 
1,90909090909091;3,4;2
2,18181818181818;1,6;3
3,27272727272727;4;4
2,27272727272727;3,8;2,75
1,90909090909091;2,6;3
2;3;3
2,72727272727273;4,2;2
2,81818181818182;3;1,75
2,90909090909091;4;3,75
2,09090909090909;3,2;2,25
3,09090909090909;4;3,25
2,27272727272727;2,8;2
1,45454545454545;2,2;1,5
2,18181818181818;3,2;2,75
2,09090909090909;3,4; 
3,27272727272727;4,6;3,25
3,18181818181818;4;3,25
2,54545454545455;3,4;2,5
2,36363636363636;3,6;3
 ; ; 
 ; ; 
2,09090909090909;2,4;3
2,45454545454545;4,4;2
2,81818181818182;4;3,25
2,09090909090909;3,4;2,25
2,81818181818182;3;3,25
2,27272727272727;3,4;2,5
2,54545454545455;4;3,25
3,72727272727273;4;3,25
 ; ; 
2,45454545454545;3;3,25
3,81818181818182;4;3,75
3,81818181818182;3,8;4
1,81818181818182;1;2,5
3,09090909090909;3;3,25
2;3,2;2,25
3,09090909090909;4;2
3,63636363636364;3,8;3,5
 ; ; 
2,27272727272727;3,4;3
3,54545454545455;4;3,25
3,27272727272727;3,6;2,75
 ; ; 
2,18181818181818;4;2,25
3,27272727272727;4,2;2,75
2,72727272727273;4;2
3,45454545454545;4,2;3,25
3;3,8;3
2,72727272727273;4;2,25
2,81818181818182;3,6;2,5
2,36363636363636;2;3,25
2,81818181818182;4;2,25
3,81818181818182;4,4;3,5
2,09090909090909;4,4;3,25
2,18181818181818;3,2;2,5
2,45454545454545;3,6;2,75
2,63636363636364;3,4;3,5
3,36363636363636;4,2;4
3,63636363636364;4,2;3,75
3,18181818181818;3,8;2,75
3,90909090909091;5;3,5
3,36363636363636;3,6;3
3,09090909090909;4;3
2;3,4;3,25
3,09090909090909;4,2;2,75
3,63636363636364;4;3,25
3,27272727272727;3,6;3
3,54545454545455;4;3
2,72727272727273;4;1,75
3,72727272727273;4; 
3;4,8;3,75
4;3,8;3,25
3,81818181818182;4,2;4
2,18181818181818;3;2,25
3,63636363636364;4,6;3,5
2,81818181818182;3,4;3,75
3,90909090909091;4,8;3,5
3,72727272727273;4,4;3,75
4,18181818181818;4;3
4,09090909090909;4,8;3,5
2,81818181818182;3,4;3
2,63636363636364;4;3,75
2,45454545454545;4,2;3,25
4,18181818181818;5;3,75
2,72727272727273;5;3
2,72727272727273;4,2;3,25
3,45454545454545;3; 
3,72727272727273;2,2;3
4;2,8;4
3,90909090909091;4;3,75
2,54545454545455;3,4;3,25
2,27272727272727;3,4;3,25
2,90909090909091;5;3,5
2,81818181818182;3,6;2,75
 ; ; 
1,90909090909091;1;2,5
4,45454545454545;3,2;3
2;2,4;2,75
2,09090909090909;3,4;3,25
2,63636363636364;2;2,75
3,45454545454545;3,6;3
3,72727272727273;2,6;2,75
4,81818181818182;2;4
2,63636363636364;3,6;3,25
2,63636363636364;3,4;2,75
4,18181818181818;3,6;3,5
3,90909090909091;4;3,25
3,63636363636364;3,8;2,5
3,72727272727273;4,2; 
3,72727272727273;4,8;3,5
3,81818181818182;4,6;3,25
3,72727272727273;5;3,5
3,09090909090909;4;3
3,72727272727273;4,4;3,5
3,09090909090909;3,8;2,5
4,81818181818182;2;2,75
4;3,8;3
2,90909090909091;3,8;3,25
3,45454545454545;2,6;2,75
3,63636363636364;3,6;3
2;4;2,5
3;3,4;2,75
2,18181818181818;2,8;2
2,45454545454545;3,8;2,5
3,63636363636364;3,4;3
3,81818181818182;3,2;3,25
2,63636363636364;2,8;3
 ; ; 
3,27272727272727;3,8;4
3,09090909090909;4;2,25
1,72727272727273;3;1,5
2,90909090909091;4;2,75
3;3;3
 ; ; 
2,54545454545455;3;1,75
2;5;2,25
2,09090909090909;3,4;2,25
2,36363636363636;4;2,25
2;3,8;2,5
2,36363636363636;5;2,25
2,45454545454545;3,2;2,25
2,27272727272727;3;2,5
1,72727272727273;2,6;2,5
2,18181818181818;3,8;2,25
2,90909090909091;5;1,75
3,27272727272727;3,6;2,5
2,27272727272727;3,6;2,75
3;4;2,75
1,81818181818182;4;1,75
2,36363636363636;2,4;2,75
3,63636363636364;4;3
2,54545454545455;3,8;2,25
2,54545454545455;2,6;2,5
3,18181818181818;4,4;3,5
3,18181818181818;4;3,25
2,36363636363636;3,4;2,5
3,72727272727273;4;4
3,18181818181818;4,2;3,25
2,09090909090909;4; 
3,36363636363636; ; 
2,45454545454545;3;1,5
2,72727272727273;3,4;2,25
2,90909090909091;3,8;2,25
2;4,4;2
2,54545454545455;4;2
3,45454545454545;4,2;3,5
2,54545454545455;4,2;2,5
2,90909090909091;4,2;2,5
3,45454545454545;3,6;3
3,09090909090909;2,4;2,5
3,36363636363636;3,6;3,25
3;2,2;2,75
2,72727272727273;3,4;3
3;3;2,5
3,63636363636364;3,6;3,5
3,90909090909091;4,8;3,25
2;3,8;3
2,27272727272727;3,8;3
3,36363636363636;3,2;2,75
3,36363636363636;3,4;3
3,81818181818182;4;3,5
3,18181818181818;4;2,75
2,72727272727273;2,4;2
3,63636363636364;4;2,75
3,36363636363636;4,4;3,25
3,09090909090909;4;3,5
4,36363636363636;2,4;3,75
3,09090909090909;4;3,25
2,36363636363636;3,4;2,25
3,90909090909091;3,8;3,25
 ; ; 
2,81818181818182;4,6;3
 ; ; 
3,63636363636364;4,4;3,5
4,54545454545455;2,2;3
3,54545454545455;4,6;3,75
2,90909090909091;4;3,5
 ; ; 
3;4,2;3,5
3,09090909090909;4,6;2,5
2,54545454545455;3,6;2,75
3,81818181818182;3,6;3
3,09090909090909;3,2;2,5
3,36363636363636;4,4; 
3,18181818181818;3,4;2,75
2,63636363636364;4;2,25
2,90909090909091;3,4;2,75
3,45454545454545;3,4;2,75
3,36363636363636;3,4;3,75
3,09090909090909; ; 
3,72727272727273;4;3,75
3,09090909090909;4,2;3
3,54545454545455;4,4;2,75
3,90909090909091;4,4;3,25
2,54545454545455;5;3
3;3;3
1,81818181818182;2,8;2,5
3,63636363636364;4;3
2,90909090909091;2,6;2,5
 ; ; 
2,27272727272727;2,6;2,75
2,18181818181818;3,6; 
2,45454545454545;3;2,75
2,54545454545455;3;3
4,09090909090909;4,6;4
2,54545454545455;5;2,25
2,81818181818182;4;2,25
2;3,8;3
2,27272727272727;3,6;2,75
2,27272727272727;3,4;3
2,72727272727273;2,2;3,25
 ; ; 
 ; ; 
3,18181818181818;4,2; 
 ; ; 
3,81818181818182;4;5
3;3,8;4
4,27272727272727;4;3,5
 ; ; 
3,90909090909091;4,2;3
4,18181818181818;4,6;3,25
4,27272727272727;4,8;3,75
3,72727272727273;4;3,5
3,72727272727273;4;3,25
3,72727272727273;4,8;3,25
3,81818181818182;4,4;3,5
4,09090909090909;5;3,5
4,54545454545455;4;3,5
3,45454545454545;4,2;3,5
3,81818181818182;3;3,75
3,36363636363636;4,2;3
2,09090909090909;4;3,25
3,54545454545455;3,8;3
3,18181818181818;3;3,5
3,81818181818182;4,6;3,75
2,90909090909091;4;2,75
2,90909090909091;4;1,75
3,63636363636364;4,2;3,5
3,27272727272727;3,8;3,5
2,81818181818182;4;3,25
3,90909090909091;2,6;3
3,81818181818182;4;3,75
2,90909090909091;2;3,25
3,63636363636364;3,8;3,25
3,90909090909091;3,4;3,25
3,36363636363636;4;3,25
3,63636363636364;3;3
3,18181818181818;2,8;2,5
2,27272727272727;1,4;2,5
4,27272727272727;4;3,5
3;4;3,5
3,09090909090909;3,8;3,5
3,27272727272727;1,6;2,25
3,18181818181818;2,6;3,25
3,27272727272727;3,6;4
3,54545454545455;3,6;3,75
4;3,2;3,25
2,54545454545455;3,4;2,5
2,54545454545455;2,4;3,25
3,63636363636364;3,8;3,5
3,27272727272727;3,8;2,75
3,09090909090909;3,8;3,5
2,36363636363636;4;3
3,45454545454545;3,2;3
2,09090909090909;4;2,25
2,54545454545455;3,4;2,25
1,72727272727273;4,2;1,75
1,81818181818182;3,4;2,5
3,18181818181818;3,4;2,25
2,54545454545455;3,8;2,75
2;3,2;2,25
3,09090909090909;3,8;3
2,09090909090909;3,4;1,75
2,81818181818182;3,8;2
3;4;2,25
3;3,2;2,75
2,27272727272727;3,2;2,5
3,81818181818182;3,2;3
2,72727272727273;2,4;2
3,45454545454545;3,8;3
3;2,6;3,25
3,54545454545455;3,8;3,25
3,63636363636364;4;3,5
2,72727272727273;3,8;2,75
3,90909090909091;4;3
2,27272727272727;3,6;3,5
1,81818181818182;3,2;2,5
3,72727272727273;4,4;4
2,81818181818182;2,2;2,75
3,63636363636364;3,8;3
2,90909090909091;4,8;3,25
3,18181818181818;3,8;3,5
2,72727272727273;2,8;2,5
3,63636363636364;4;3,75
3,27272727272727;3,4;3
3,81818181818182;2,8;2,25
3;3,8;3,5
 ; ; 
2,90909090909091;2,2;3
3,27272727272727;1;2
3,18181818181818;4;2,75
2,36363636363636;2;3,75
3,54545454545455;4;3,25
2,63636363636364;2,8;2,5
2,81818181818182;3,4;2,75
2,09090909090909;1,8;2,5
2,81818181818182;2,6;4,25
3,54545454545455;4,2;3,25
1,90909090909091;3,8;3
2,36363636363636;3,6;3
2,45454545454545;2,8;2,75
3,36363636363636;4,2;4
2,09090909090909;1,8;2,5
2,72727272727273;4;3
1,63636363636364;2,8;2,5
3,45454545454545;3,2;3
2,90909090909091;4;3,75
2,63636363636364;3,8;2,25
3,09090909090909;3,6;2,25
3,45454545454545;4,2;3,25
2;3,8;2,5
3,18181818181818;4;3,5
2,81818181818182;3;3
3,72727272727273;4;3
3,45454545454545;5;3,25
3;4;3,25
2,45454545454545;3,6;3,5
3,36363636363636;4,4;3,25
3,54545454545455;4,4;2,5
3,27272727272727;4;3
2,27272727272727;5;3,25
3,27272727272727;4;3,75
2,36363636363636;4;3
3,45454545454545;4;2,75
3,81818181818182;4,2;3,75
3,09090909090909;3,4;3,25
3;3,6;2,5
2,72727272727273;4,6;2,25
2,54545454545455;4,2;3,5
2,18181818181818;3,8;2,75
2,72727272727273;3,8;3,25
2,18181818181818;2,6;1,25
3,27272727272727;4;3,25
2,72727272727273;3,6;3,25
2,45454545454545;4,2;2,25
2,27272727272727;3;3
2,81818181818182;3,4;3,5
3,72727272727273;4;3,5
2,36363636363636;3,6;3,25
3,18181818181818;3,4;3,25
4,54545454545455;4,6;4,5
2,81818181818182;3,6;3,75
2,90909090909091;4,8;3,75
3,90909090909091;4,6;3,25
2,18181818181818;2,2;2,75
3;4;2,5
3,90909090909091;4,6;3
3,27272727272727;4;2,5
5;4,8;4
2,72727272727273;3,8;2,5
2,54545454545455;3,4;3
2,54545454545455;4;2,75
2,63636363636364;3,4;2,75
2,63636363636364;2,8;2,75
2,36363636363636;4;3
2,81818181818182;4;3
2,45454545454545;3,6;2,5
2,45454545454545;3;3
2,54545454545455;3,2;2,75
3,54545454545455;3,6;2,75
3,09090909090909;4;3,75
3,72727272727273;3,8;3
2,63636363636364;2,6;3,25
2,81818181818182;2;3,25
